name,county,type,start,end,latitude,longitude
Nantucket,Nantucket,settlement,1641,1671,41.2836418,-70.0986786
Andover,Essex,settlement,1642,1646,42.6580696,-71.1419067
Edgartown,Dukes,settlement,1642,1671,41.3909187,-70.5205002
Methuen,Essex,settlement,1642,1725,42.7301102,-71.1836777
Oak Bluffs,Dukes,settlement,1642,1880,41.4578094,-70.5562515
West Boylston,Worcester,settlement,1642,1808,42.358429,-71.7839737
Weston,Middlesex,settlement,1642,1713,42.3666,-71.2971115
Lancaster,Worcester,settlement,1643,1653,42.4550209,-71.6735764
Eastham,Barnstable,settlement,1644,1646,41.8300896,-69.9764709
Longmeadow,Hampden,settlement,1644,1783,42.0556984,-72.5547485
North Andover,Essex,settlement,1644,1855,42.7030907,-71.1312408
Boxford,Essex,settlement,1645,1685,42.6930885,-71.0150833
Stoneham,Middlesex,settlement,1645,1725,42.4805107,-71.0989609
Cohasset,Norfolk,settlement,1647,1775,42.2433014,-70.8038406
East Bridgewater,Plymouth,settlement,1649,1823,42.0314293,-70.9580078
Hanover,Plymouth,settlement,1649,1727,42.1255112,-70.8564606
Medfield,Norfolk,settlement,1649,1651,42.1875191,-71.3031082
Bridgewater,Plymouth,settlement,1650,1656,41.9864998,-70.9764328
Carlisle,Middlesex,settlement,1650,1780,42.528801,-71.35112
Dartmouth,Bristol,settlement,1650,1664,41.6282082,-70.9660263
Framingham,Middlesex,settlement,1650,1700,42.279789,-71.4163513
Lincoln,Middlesex,settlement,1650,1754,42.4257088,-71.3030624
Pembroke,Plymouth,settlement,1650,1712,42.0720787,-70.8093796
Sharon,Norfolk,settlement,1650,1775,42.1205902,-71.1807785
North Reading,Middlesex,settlement,1651,1853,42.5745506,-71.0788803
West Bridgewater,Plymouth,settlement,1651,1822,42.0167389,-71.0224533
Chicopee,Hampden,settlement,1652,1848,42.1481895,-72.6069717
Raynham,Bristol,settlement,1652,1731,41.9227905,-71.0513611
Sherborn,Middlesex,settlement,1652,1674,42.2402802,-71.371521
Lowell,Middlesex,settlement,1653,1826,42.6458817,-71.3128433
Leominster,Worcester,settlement,1653,1740,42.5268288,-71.7617264
Northampton,Hampshire,settlement,1654,1656,42.3179817,-72.6318436
Amesbury,Essex,settlement,1654,1668,42.8523293,-70.931778
Clinton,Worcester,settlement,1654,1850,42.4168892,-71.6823807
Lawrence,Essex,settlement,1655,1847,42.7103996,-71.1607971
Groton,Middlesex,settlement,1655,1655,42.6085281,-71.5716629
Fall River,Bristol,settlement,1656,1803,41.6973495,-71.1436462
Brewster,Barnstable,settlement,1656,1803,41.7638283,-70.0746765
Dunstable,Middlesex,settlement,1656,1673,42.6744194,-71.4817734
Marlborough,Middlesex,settlement,1657,1660,42.3468018,-71.5479889
Medway,Norfolk,settlement,1657,1713,42.1403885,-71.3985291
Millis,Norfolk,settlement,1657,1885,42.1673393,-71.3575134
Acushnet,Bristol,settlement,1659,1860,41.6807785,-70.9093781
Hadley,Hampshire,settlement,1659,1661,42.3433304,-72.589241
Holliston,Middlesex,settlement,1659,1724,42.2020493,-71.428978
Mansfield,Bristol,settlement,1659,1775,42.0236893,-71.2164383
Middleton,Essex,settlement,1659,1728,42.59272,-71.0145721
South Hadley,Hampshire,settlement,1659,1775,42.2147598,-72.5941467
Walpole,Norfolk,settlement,1659,1724,42.1487083,-71.2509537
Westfield,Hampden,settlement,1660,1669,42.1202202,-72.7541504
Carver,Plymouth,settlement,1660,1790,41.8845482,-70.7658691
Falmouth,Barnstable,settlement,1660,1686,41.5523491,-70.6174774
Franklin,Norfolk,settlement,1660,1778,42.0801086,-71.382019
Hopedale,Worcester,settlement,1660,1886,42.1261101,-71.5372772
Mashpee,Barnstable,settlement,1660,1870,41.6182213,-70.4909134
Mendon,Worcester,settlement,1660,1667,42.1053581,-71.5514832
Middleborough,Plymouth,settlement,1660,1669,41.8944511,-70.9068375
Southborough,Worcester,settlement,1660,1727,42.2904205,-71.5264969
Tisbury,Dukes,settlement,1660,1671,41.4542809,-70.6012192
Wellesley,Norfolk,settlement,1660,1881,42.2968903,-71.2919769
West Springfield,Hampden,settlement,1660,1774,42.1058388,-72.621727
Hatfield,Hampshire,settlement,1661,1670,42.3717499,-72.5964279
Plainville,Norfolk,settlement,1661,1905,42.0042,-71.3348236
Tyngsborough,Middlesex,settlement,1661,1809,42.676651,-71.4255981
Blackstone,Worcester,settlement,1662,1845,42.0184517,-71.5329971
Milford,Worcester,settlement,1662,1780,42.150589,-71.5272217
Millville,Worcester,settlement,1662,1916,42.0271111,-71.580719
Plympton,Plymouth,settlement,1662,1707,41.9522591,-70.8138809
Uxbridge,Worcester,settlement,1662,1727,42.063549,-71.622467
Brookfield,Worcester,settlement,1664,1718,42.2164307,-72.1014786
Dracut,Middlesex,settlement,1664,1701,42.6819191,-71.3091965
East Brookfield,Worcester,settlement,1664,1920,42.2254105,-72.0466537
Easthampton,Hampshire,settlement,1664,1809,42.2709503,-72.6721268
North Brookfield,Worcester,settlement,1664,1812,42.2691994,-72.085228
Warren,Worcester,settlement,1664,1742,42.2129097,-72.1942673
West Brookfield,Worcester,settlement,1664,1848,42.2348785,-72.1421432
Berlin,Worcester,settlement,1665,1812,42.3611107,-71.6285934
Chatham,Barnstable,settlement,1665,1712,41.6848183,-69.966423
Swansea,Bristol,settlement,1667,1667,41.7487717,-71.1902771
Abington,Plymouth,settlement,1668,1712,42.1176186,-70.9567566
Ayer,Middlesex,settlement,1668,1871,42.5594406,-71.5863876
Aquinnah,Dukes,settlement,1669,1870,41.3434792,-70.8152084
North Attleborough,Bristol,settlement,1669,1887,41.9807205,-71.332962
Norton,Bristol,settlement,1669,1711,41.9714088,-71.1785583
West Tisbury,Dukes,settlement,1669,1892,41.3813896,-70.67453
Wrentham,Norfolk,settlement,1669,1673,42.0630989,-71.3323517
Fairhaven,Bristol,settlement,1670,1812,41.635479,-70.9038467
Halifax,Plymouth,settlement,1670,1734,41.9911003,-70.8598785
Harwich,Barnstable,settlement,1670,1694,41.6862717,-70.0734177
Westport,Bristol,settlement,1670,1787,41.6582298,-71.0797882
Whitman,Plymouth,settlement,1670,1875,42.0808411,-70.9352875
Chilmark,Dukes,settlement,1671,1714,41.3422508,-70.7446289
Northborough,Worcester,settlement,1672,1775,42.3106308,-71.6550522
Whately,Franklin,settlement,1672,1771,42.4416809,-72.6351624
Worcester,Worcester,settlement,1673,1684,42.2634087,-71.8021927
Deerfield,Franklin,settlement,1673,1677,42.4790688,-72.6086502
Northfield,Franklin,settlement,1673,1723,42.6919594,-72.4573288
Rockland,Plymouth,settlement,1673,1874,42.1279182,-70.9136124
Sunderland,Franklin,settlement,1673,1718,42.4671593,-72.5810165
Freetown,Bristol,settlement,1675,1683,41.7991219,-71.0697937
Westborough,Worcester,settlement,1675,1717,42.2687988,-71.6138611
Ashby,Middlesex,settlement,1676,1767,42.6778908,-71.8202209
Townsend,Middlesex,settlement,1676,1732,42.6675987,-71.7071991
Somerset,Bristol,settlement,1677,1790,41.7513809,-71.1414566
Dighton,Bristol,settlement,1678,1712,41.8264389,-71.1210709
Norwood,Norfolk,settlement,1678,1872,42.1958313,-71.1997833
Wareham,Plymouth,settlement,1678,1739,41.7601013,-70.7229538
Marion,Plymouth,settlement,1679,1852,41.7030907,-70.7626266
Acton,Middlesex,settlement,1680,1735,42.4858017,-71.4333191
Boxborough,Middlesex,settlement,1680,1835,42.4840088,-71.5140991
Needham,Norfolk,settlement,1680,1711,42.2815094,-71.2360535
Stow,Middlesex,settlement,1681,1683,42.4367218,-71.5072098
Bolton,Worcester,settlement,1682,1738,42.4331207,-71.6077881
Greenfield,Franklin,settlement,1686,1775,42.5875282,-72.5981216
Littleton,Middlesex,settlement,1686,1715,42.5381584,-71.4840698
Rutland,Worcester,settlement,1686,1713,42.3755302,-71.95224
Oxford,Worcester,settlement,1687,1713,42.1170006,-71.8641586
Mount Washington,Berkshire,settlement,1692,1779,42.1015511,-73.4538498
Orleans,Barnstable,settlement,1693,1797,41.7864799,-69.9899597
Easton,Bristol,settlement,1694,1725,42.0747185,-71.0888367
Hudson,Middlesex,settlement,1699,1866,42.3913689,-71.564621
Brockton,Plymouth,settlement,1700,1821,42.0831795,-71.0172424
Avon,Norfolk,settlement,1700,1888,42.1297913,-71.0391998
Provincetown,Barnstable,settlement,1700,1727,42.0515594,-70.1877975
Truro,Barnstable,settlement,1700,1709,41.9934006,-70.0499115
Amherst,Hampshire,settlement,1703,1775,42.3707695,-72.5332031
Foxborough,Norfolk,settlement,1704,1778,42.0636215,-71.2475815
Harvard,Worcester,settlement,1704,1732,42.5043602,-71.5845337
Northbridge,Worcester,settlement,1704,1775,42.1103516,-71.6663971
Sutton,Worcester,settlement,1704,1714,42.1497917,-71.7624283
Boylston,Worcester,settlement,1705,1785,42.32547,-71.7538223
Brimfield,Hampden,settlement,1706,1731,42.1223106,-72.2010574
New Braintree,Worcester,settlement,1709,1775,42.3180618,-72.1216812
Holbrook,Norfolk,settlement,1710,1872,42.154789,-71.0081635
Randolph,Norfolk,settlement,1710,1793,42.1853485,-71.0550766
Bellingham,Norfolk,settlement,1713,1719,42.0869789,-71.4746017
Leicester,Worcester,settlement,1713,1714,42.2449303,-71.9153595
Leverett,Franklin,settlement,1713,1774,42.4647102,-72.4981308
Stoughton,Norfolk,settlement,1713,1726,42.1251717,-71.1028137
Webster,Worcester,settlement,1713,1832,42.0497398,-71.8809662
Auburn,Worcester,settlement,1714,1778,42.1962013,-71.8339233
Dudley,Worcester,settlement,1714,1732,42.0437813,-71.890892
Hopkinton,Middlesex,settlement,1715,1715,42.2287598,-71.5203781
Monson,Hampden,settlement,1715,1775,42.0995903,-72.3157501
Montague,Franklin,settlement,1715,1775,42.5328102,-72.531929
Millbury,Worcester,settlement,1716,1813,42.1902504,-71.7627106
Lakeville,Plymouth,settlement,1717,1853,41.8457298,-70.9488297
Ware,Hampshire,settlement,1717,1775,42.2559204,-72.2513733
Grafton,Worcester,settlement,1718,1735,42.2063904,-71.6837692
Natick,Middlesex,settlement,1718,1781,42.2840004,-71.3461685
Barre,Worcester,settlement,1720,1774,42.4113083,-72.1082764
Pepperell,Middlesex,settlement,1720,1775,42.6677094,-71.5981293
Shirley,Middlesex,settlement,1720,1775,42.5455704,-71.641243
Sterling,Worcester,settlement,1720,1781,42.4375191,-71.7604599
Douglas,Worcester,settlement,1721,1775,42.0659103,-71.7096024
Lunenburg,Worcester,settlement,1721,1728,42.5955696,-71.7249908
Spencer,Worcester,settlement,1721,1775,42.2431717,-71.9934311
Shrewsbury,Worcester,settlement,1722,1727,42.2904701,-71.7219925
Holden,Worcester,settlement,1723,1741,42.3465805,-71.8556137
Wellfleet,Barnstable,settlement,1724,1775,41.9282494,-70.015213
Holland,Hampden,settlement,1725,1835,42.0658417,-72.1600494
Great Barrington,Berkshire,settlement,1726,1761,42.1932487,-73.3633423
Sheffield,Berkshire,settlement,1726,1733,42.1109505,-73.3537064
Wales,Hampden,settlement,1726,1775,42.0743408,-72.223793
Granby,Hampshire,settlement,1727,1768,42.2581406,-72.5160828
Palmer,Hampden,settlement,1727,1775,42.1577187,-72.3265305
Upton,Worcester,settlement,1728,1735,42.1735916,-71.603302
Sturbridge,Worcester,settlement,1729,1738,42.1100388,-72.0830383
Fitchburg,Worcester,settlement,1730,1764,42.5817604,-71.7922592
Egremont,Berkshire,settlement,1730,1775,42.1960106,-73.4349365
Southbridge,Worcester,settlement,1730,1816,42.0745201,-72.0326767
Wilbraham,Hampden,settlement,1730,1763,42.1500816,-72.4415131
Belchertown,Hampshire,settlement,1731,1761,42.27705,-72.4007111
Southampton,Hampshire,settlement,1732,1775,42.22892,-72.7284622
Petersham,Worcester,settlement,1733,1754,42.4856186,-72.1918411
Hubbardston,Worcester,settlement,1734,1775,42.4753685,-72.0072098
Stockbridge,Berkshire,settlement,1734,1739,42.2839203,-73.3196564
Athol,Worcester,settlement,1735,1762,42.5937309,-72.2340012
Blandford,Hampden,settlement,1735,1741,42.1796303,-72.9248276
Charlton,Worcester,settlement,1735,1775,42.1381912,-71.9700775
Colrain,Franklin,settlement,1735,1761,42.6726189,-72.6988907
Otis,Berkshire,settlement,1735,1773,42.1911888,-73.0914536
Shutesbury,Franklin,settlement,1735,1761,42.4528618,-72.4101334
Tyringham,Berkshire,settlement,1735,1762,42.2469482,-73.2050781
Williamsburg,Hampshire,settlement,1735,1771,42.3746185,-72.7028427
Ashburnham,Worcester,settlement,1736,1765,42.6281395,-71.9169312
Granville,Hampden,settlement,1736,1775,42.0666695,-72.8619385
North Adams,Berkshire,settlement,1737,1878,42.6998482,-73.1149368
Hardwick,Worcester,settlement,1737,1739,42.3667488,-72.1849213
New Salem,Franklin,settlement,1737,1775,42.504509,-72.3326416
Westminster,Worcester,settlement,1737,1770,42.5445786,-71.9110794
Bernardston,Franklin,settlement,1738,1762,42.6711807,-72.5504379
Leyden,Franklin,settlement,1738,1809,42.7010117,-72.6314926
New Marlborough,Berkshire,settlement,1738,1775,42.1107903,-73.2650299
Pelham,Hampshire,settlement,1738,1743,42.3910713,-72.4118805
Monterey,Berkshire,settlement,1739,1847,42.1794395,-73.2136078
Warwick,Franklin,settlement,1739,1763,42.6821213,-72.3380814
Alford,Berkshire,settlement,1740,1773,42.2363586,-73.4153519
Becket,Berkshire,settlement,1740,1765,42.2829094,-73.0633621
East Longmeadow,Hampden,settlement,1740,1894,42.0483208,-72.5208969
Hampden,Hampden,settlement,1741,1878,42.0639801,-72.4135818
Charlemont,Franklin,settlement,1742,1765,42.6280594,-72.87117
Ashfield,Franklin,settlement,1743,1765,42.5261612,-72.7909927
Princeton,Worcester,settlement,1743,1771,42.4496002,-71.8786163
Holyoke,Hampden,settlement,1745,1850,42.2069588,-72.6074295
Orange,Franklin,settlement,1746,1810,42.5915604,-72.3100815
Oakham,Worcester,settlement,1749,1775,42.3537483,-72.0427704
Paxton,Worcester,settlement,1749,1775,42.3113708,-71.9278488
Williamstown,Berkshire,settlement,1749,1765,42.7146606,-73.2087708
Ashland,Middlesex,settlement,1750,1846,42.2612991,-71.4657898
Lenox,Berkshire,settlement,1750,1775,42.3589211,-73.2842102
Mattapoisett,Plymouth,settlement,1750,1857,41.6591187,-70.8167725
Sandisfield,Berkshire,settlement,1750,1762,42.1077003,-73.1078873
Tolland,Hampden,settlement,1750,1810,42.0809212,-72.9890823
Ludlow,Hampden,settlement,1751,1775,42.1710815,-72.4661865
Phillipston,Worcester,settlement,1751,1786,42.5490608,-72.1323929
Templeton,Worcester,settlement,1751,1762,42.5613785,-72.0370026
Pittsfield,Berkshire,settlement,1752,1761,42.4473801,-73.2542191
Lanesborough,Berkshire,settlement,1753,1765,42.5365791,-73.2292328
Winchendon,Worcester,settlement,1753,1764,42.6841698,-72.0461578
Greenwich,,settlement,1754,1754,42.359167,-72.296389
Wendell,Franklin,settlement,1754,1781,42.5482407,-72.3948288
Dalton,Berkshire,settlement,1755,1784,42.4728699,-73.1639709
Shelburne,Franklin,settlement,1756,1775,42.603611,-72.7383423
Chester,Hampden,settlement,1760,1765,42.2761688,-72.9741516
Chesterfield,Hampshire,settlement,1760,1762,42.3921013,-72.8436966
Hawley,Franklin,settlement,1760,1792,42.5990105,-72.9146194
Lee,Berkshire,settlement,1760,1777,42.3055115,-73.2502823
Richmond,Berkshire,settlement,1760,1765,42.3737793,-73.3678513
Washington,Berkshire,settlement,1760,1777,42.3738785,-73.1138763
Goshen,Hampshire,settlement,1761,1781,42.4401398,-72.7996063
Adams,Berkshire,settlement,1762,1778,42.6200104,-73.1200027
Conway,Franklin,settlement,1762,1775,42.5087204,-72.701767
Cummington,Hampshire,settlement,1762,1779,42.4588203,-72.8916931
New Ashford,Berkshire,settlement,1762,1835,42.6040688,-73.2424088
Rowe,Franklin,settlement,1762,1785,42.6939583,-72.8991928
Royalston,Worcester,settlement,1762,1765,42.6934509,-72.2441101
Westhampton,Hampshire,settlement,1762,1778,42.3036118,-72.7750168
Hinsdale,Berkshire,settlement,1763,1804,42.4378319,-73.1234589
Gardner,Worcester,settlement,1764,1785,42.5746803,-71.995369
Clarksburg,Berkshire,settlement,1764,1798,42.7118988,-73.0842438
Worthington,Hampshire,settlement,1764,1768,42.3999901,-72.9375381
Heath,Franklin,settlement,1765,1785,42.6735802,-72.8215714
Cheshire,Berkshire,settlement,1766,1793,42.5620384,-73.1624374
West Stockbridge,Berkshire,settlement,1766,1775,42.3343201,-73.3672409
Hancock,Berkshire,settlement,1767,1776,42.5475998,-73.3122101
Montgomery,Hampden,settlement,1767,1780,42.2226105,-72.8247681
Peru,Berkshire,settlement,1767,1771,42.4376297,-73.0446777
Windsor,Berkshire,settlement,1767,1771,42.5109901,-73.0558701
Huntington,Hampshire,settlement,1769,1775,42.2329788,-72.8794327
Plainfield,Hampshire,settlement,1770,1807,42.5134697,-72.9074097
Southwick,Hampden,settlement,1770,1775,42.0545387,-72.7704391
Gill,Franklin,settlement,1776,1793,42.6411514,-72.498848
Savoy,Berkshire,settlement,1777,1797,42.5653,-73.026268
Buckland,Franklin,settlement,1779,1779,42.6038208,-72.7413712
Middlefield,Hampshire,settlement,1780,1783,42.3449593,-73.0109177
Russell,Hampden,settlement,1782,1792,42.1897392,-72.8562164
Florida,Berkshire,settlement,1783,1805,42.6671104,-73.0111313
Norfolk,Norfolk,settlement,1795,1870,42.1194115,-71.3308334
Dana,Worcester,settlement,1676,1801,42.1561852,-71.5661926
Monroe,Franklin,settlement,1800,1822,42.7222595,-72.9413223
Erving,Franklin,settlement,1801,1838,42.5996513,-72.3986435
Enfield,Hampshire,settlement,1800,1816,42.316667,-72.332778
Prescott,Hampshire,settlement,1821,1822,42.3916702,-72.3447189
