name,county,type,start,end,latitude,longitude
Provincetown,Barnstable,town,1727,,42.0515594,-70.1877975
Shrewsbury,Worcester,town,1727,,42.2904701,-71.7219925
Southborough,Worcester,town,1727,,42.2904205,-71.5264969
Uxbridge,Worcester,town,1727,,42.063549,-71.622467
Lunenburg,Worcester,town,1728,,42.5955696,-71.7249908
Middleton,Essex,town,1728,,42.59272,-71.0145721
Bedford,Middlesex,town,1729,,42.49189,-71.2814713
Westford,Middlesex,town,1729,,42.5826607,-71.437088
Wilmington,Middlesex,town,1730,,42.5474205,-71.1727829
Brimfield,Hampden,town,1731,,42.1223106,-72.2010574
Raynham,Bristol,town,1731,,41.9227905,-71.0513611
Dudley,Worcester,town,1732,,42.0437813,-71.890892
Harvard,Worcester,town,1732,,42.5043602,-71.5845337
Townsend,Middlesex,town,1732,,42.6675987,-71.7071991
Sheffield,Berkshire,town,1733,,42.1109505,-73.3537064
Halifax,Plymouth,town,1734,,41.9911003,-70.8598785
Tewksbury,Middlesex,town,1734,,42.6115913,-71.2326508
Acton,Middlesex,town,1735,,42.4858017,-71.4333191
Berkley,Bristol,town,1735,,41.8466492,-71.0826111
Grafton,Worcester,town,1735,,42.2063904,-71.6837692
Upton,Worcester,town,1735,,42.1735916,-71.603302
Bolton,Worcester,town,1738,,42.4331207,-71.6077881
Sturbridge,Worcester,town,1738,,42.1100388,-72.0830383
Waltham,Middlesex,town,1738,1884,42.3764381,-71.235321
Hardwick,Worcester,town,1739,,42.3667488,-72.1849213
Stockbridge,Berkshire,town,1739,,42.2839203,-73.3196564
Wareham,Plymouth,town,1739,,41.7601013,-70.7229538
Chelsea,Suffolk,town,1739,1857,42.3937607,-71.0323715
Leominster,Worcester,town,1740,1915,42.5268288,-71.7617264
Blandford,Hampden,town,1741,,42.1796303,-72.9248276
Holden,Worcester,town,1741,,42.3465805,-71.8556137
Warren,Worcester,town,1742,,42.2129097,-72.1942673
Pelham,Hampshire,town,1743,,42.3910713,-72.4118805
Greenwich,Hampshire,town,1754,1938,42.359167,-72.296389
Lincoln,Middlesex,town,1754,,42.4257088,-71.3030624
Petersham,Worcester,town,1754,,42.4856186,-72.1918411
Belchertown,Hampshire,town,1761,,42.27705,-72.4007111
Colrain,Franklin,town,1761,,42.6726189,-72.6988907
Great Barrington,Berkshire,town,1761,,42.1932487,-73.3633423
Shutesbury,Franklin,town,1761,,42.4528618,-72.4101334
Pittsfield,Berkshire,town,1761,1891,42.4473801,-73.2542191
Athol,Worcester,town,1762,,42.5937309,-72.2340012
Bernardston,Franklin,town,1762,,42.6711807,-72.5504379
Chesterfield,Hampshire,town,1762,,42.3921013,-72.8436966
Sandisfield,Berkshire,town,1762,,42.1077003,-73.1078873
Templeton,Worcester,town,1762,,42.5613785,-72.0370026
Tyringham,Berkshire,town,1762,,42.2469482,-73.2050781
Warwick,Franklin,town,1763,,42.6821213,-72.3380814
Wilbraham,Hampden,town,1763,,42.1500816,-72.4415131
Winchendon,Worcester,town,1764,,42.6841698,-72.0461578
Newburyport,Essex,town,1764,1851,42.8119698,-70.8726273
Fitchburg,Worcester,town,1764,1872,42.5817604,-71.7922592
Ashburnham,Worcester,town,1765,,42.6281395,-71.9169312
Ashfield,Franklin,town,1765,,42.5261612,-72.7909927
Becket,Berkshire,town,1765,,42.2829094,-73.0633621
Charlemont,Franklin,town,1765,,42.6280594,-72.87117
Chester,Hampden,town,1765,,42.2761688,-72.9741516
Lanesborough,Berkshire,town,1765,,42.5365791,-73.2292328
Richmond,Berkshire,town,1765,,42.3737793,-73.3678513
Royalston,Worcester,town,1765,,42.6934509,-72.2441101
Williamstown,Berkshire,town,1765,,42.7146606,-73.2087708
Ashby,Middlesex,town,1767,,42.6778908,-71.8202209
Granby,Hampshire,town,1768,,42.2581406,-72.5160828
Worthington,Hampshire,town,1768,,42.3999901,-72.9375381
Westminster,Worcester,town,1770,,42.5445786,-71.9110794
Peru,Berkshire,town,1771,,42.4376297,-73.0446777
Princeton,Worcester,town,1771,,42.4496002,-71.8786163
Whately,Franklin,town,1771,,42.4416809,-72.6351624
Williamsburg,Hampshire,town,1771,,42.3746185,-72.7028427
Windsor,Berkshire,town,1771,,42.5109901,-73.0558701
Alford,Berkshire,town,1773,,42.2363586,-73.4153519
Otis,Berkshire,town,1773,,42.1911888,-73.0914536
Barre,Worcester,town,1774,,42.4113083,-72.1082764
Leverett,Franklin,town,1774,,42.4647102,-72.4981308
West Springfield,Hampden,town,1774,,42.1058388,-72.621727
Amherst,Hampshire,town,1775,,42.3707695,-72.5332031
Charlton,Worcester,town,1775,,42.1381912,-71.9700775
Cohasset,Norfolk,town,1775,,42.2433014,-70.8038406
Conway,Franklin,town,1775,,42.5087204,-72.701767
Danvers,Essex,town,1775,,42.5701103,-70.9365005
Douglas,Worcester,town,1775,,42.0659103,-71.7096024
Egremont,Berkshire,town,1775,,42.1960106,-73.4349365
Granville,Hampden,town,1775,,42.0666695,-72.8619385
Greenfield,Franklin,town,1775,,42.5875282,-72.5981216
Hubbardston,Worcester,town,1775,,42.4753685,-72.0072098
Huntington,Hampshire,town,1775,,42.2329788,-72.8794327
Lenox,Berkshire,town,1775,,42.3589211,-73.2842102
Ludlow,Hampden,town,1775,,42.1710815,-72.4661865
Mansfield,Bristol,town,1775,,42.0236893,-71.2164383
Monson,Hampden,town,1775,,42.0995903,-72.3157501
Montague,Franklin,town,1775,,42.5328102,-72.531929
New Braintree,Worcester,town,1775,,42.3180618,-72.1216812
New Marlborough,Berkshire,town,1775,,42.1107903,-73.2650299
New Salem,Franklin,town,1775,,42.504509,-72.3326416
Northborough,Worcester,town,1775,,42.3106308,-71.6550522
Northbridge,Worcester,town,1775,,42.1103516,-71.6663971
Oakham,Worcester,town,1775,,42.3537483,-72.0427704
Palmer,Hampden,town,1775,,42.1577187,-72.3265305
Paxton,Worcester,town,1775,,42.3113708,-71.9278488
Pepperell,Middlesex,town,1775,,42.6677094,-71.5981293
Sharon,Norfolk,town,1775,,42.1205902,-71.1807785
Shelburne,Franklin,town,1775,,42.603611,-72.7383423
Shirley,Middlesex,town,1775,,42.5455704,-71.641243
South Hadley,Hampshire,town,1775,,42.2147598,-72.5941467
Southampton,Hampshire,town,1775,,42.22892,-72.7284622
Southwick,Hampden,town,1775,,42.0545387,-72.7704391
Spencer,Worcester,town,1775,,42.2431717,-71.9934311
Wales,Hampden,town,1775,,42.0743408,-72.223793
Ware,Hampshire,town,1775,,42.2559204,-72.2513733
Wellfleet,Barnstable,town,1775,,41.9282494,-70.015213
West Stockbridge,Berkshire,town,1775,,42.3343201,-73.3672409
Hancock,Berkshire,town,1776,,42.5475998,-73.3122101
Lee,Berkshire,town,1777,,42.3055115,-73.2502823
Washington,Berkshire,town,1777,,42.3738785,-73.1138763
Adams,Berkshire,town,1778,,42.6200104,-73.1200027
Auburn,Worcester,town,1778,,42.1962013,-71.8339233
Foxborough,Norfolk,town,1778,,42.0636215,-71.2475815
Franklin,Norfolk,town,1778,,42.0801086,-71.382019
Westhampton,Hampshire,town,1778,,42.3036118,-72.7750168
Buckland,Franklin,town,1779,,42.6038208,-72.7413712
Cummington,Hampshire,town,1779,,42.4588203,-72.8916931
Mount Washington,Berkshire,town,1779,,42.1015511,-73.4538498
Carlisle,Middlesex,town,1780,,42.528801,-71.35112
Milford,Worcester,town,1780,,42.150589,-71.5272217
Montgomery,Hampden,town,1780,,42.2226105,-72.8247681
Wayland,Middlesex,town,1780,,42.3632011,-71.3603134
Goshen,Hampshire,town,1781,,42.4401398,-72.7996063
Natick,Middlesex,town,1781,,42.2840004,-71.3461685
Sterling,Worcester,town,1781,,42.4375191,-71.7604599
Wendell,Franklin,town,1781,,42.5482407,-72.3948288
Longmeadow,Hampden,town,1783,,42.0556984,-72.5547485
Middlefield,Hampshire,town,1783,,42.3449593,-73.0109177
Dalton,Berkshire,town,1784,,42.4728699,-73.1639709
Boylston,Worcester,town,1785,,42.32547,-71.7538223
Heath,Franklin,town,1785,,42.6735802,-72.8215714
Rowe,Franklin,town,1785,,42.6939583,-72.8991928
Gardner,Worcester,town,1785,1923,42.5746803,-71.995369
Phillipston,Worcester,town,1786,,42.5490608,-72.1323929
Westport,Bristol,town,1787,,41.6582298,-71.0797882
New Bedford,Bristol,town,1787,1847,41.6376686,-70.9308701
Carver,Plymouth,town,1790,,41.8845482,-70.7658691
Somerset,Bristol,town,1790,,41.7513809,-71.1414566
Hawley,Franklin,town,1792,,42.5990105,-72.9146194
Russell,Hampden,town,1792,,42.1897392,-72.8562164
Quincy,Norfolk,town,1792,1888,42.2522812,-71.004158
Cheshire,Berkshire,town,1793,,42.5620384,-73.1624374
Dennis,Barnstable,town,1793,,41.688839,-70.155983
Gill,Franklin,town,1793,,42.6411514,-72.498848
Hamilton,Essex,town,1793,,42.620369,-70.8549881
Randolph,Norfolk,town,1793,,42.1853485,-71.0550766
Canton,Norfolk,town,1797,,42.1591988,-71.1447906
Orleans,Barnstable,town,1797,,41.7864799,-69.9899597
Savoy,Berkshire,town,1797,,42.5653,-73.026268
Clarksburg,Berkshire,town,1798,,42.7118988,-73.0842438
Burlington,Middlesex,town,1799,,42.5058212,-71.1937637
Dana,Worcester,town,1801,1938,42.1561852,-71.5661926
Brewster,Barnstable,town,1803,,41.7638283,-70.0746765
Fall River,Bristol,town,1803,1854,41.6973495,-71.1436462
Hinsdale,Berkshire,town,1804,,42.4378319,-73.1234589
Florida,Berkshire,town,1805,,42.6671104,-73.0111313
Brighton,Suffolk,town,1806,1874,42.3496284,-71.1532822
Arlington,Middlesex,town,1807,,42.4162903,-71.1567612
Plainfield,Hampshire,town,1807,,42.5134697,-72.9074097
West Boylston,Worcester,town,1808,,42.358429,-71.7839737
Easthampton,Hampshire,town,1809,,42.2709503,-72.6721268
Leyden,Franklin,town,1809,,42.7010117,-72.6314926
Tyngsborough,Middlesex,town,1809,,42.676651,-71.4255981
Orange,Franklin,town,1810,,42.5915604,-72.3100815
Tolland,Hampden,town,1810,,42.0809212,-72.9890823
Berlin,Worcester,town,1812,,42.3611107,-71.6285934
Fairhaven,Bristol,town,1812,,41.635479,-70.9038467
North Brookfield,Worcester,town,1812,,42.2691994,-72.085228
Seekonk,Bristol,town,1812,,41.8297882,-71.3251877
Wakefield,Middlesex,town,1812,,42.5024414,-71.0693436
Millbury,Worcester,town,1813,,42.1902504,-71.7627106
Lynnfield,Essex,town,1814,,42.53862,-71.0468903
Enfield,Hampshire,town,1816,1938,42.316667,-72.332778
Saugus,Essex,town,1815,,42.4653206,-71.009697
Southbridge,Worcester,town,1816,,42.0745201,-72.0326767
Essex,Essex,town,1819,,42.6325111,-70.7811279
West Newbury,Essex,town,1819,,42.7992096,-70.9921875
Hanson,Plymouth,town,1820,,42.0658112,-70.8685074
Brockton,Plymouth,town,1821,1881,42.0831795,-71.0172424
Prescott,Hampshire,town,1822,1938,42.3916702,-72.3447189
Monroe,Franklin,town,1822,,42.7222595,-72.9413223
West Bridgewater,Plymouth,town,1822,,42.0167389,-71.0224533
East Bridgewater,Plymouth,town,1823,,42.0314293,-70.9580078
Lowell,Middlesex,town,1826,1836,42.6458817,-71.3128433
Webster,Worcester,town,1832,,42.0497398,-71.8809662
Boxborough,Middlesex,town,1835,,42.4840088,-71.5140991
Holland,Hampden,town,1835,,42.0658417,-72.1600494
